sleeper_id,fantasypros_id,mfl_id,name,merge_name,position,team
13269,28013,17462,Fernando Mendoza,fernando mendoza,QB,LVR
13275,25368,17463,Ty Simpson,ty simpson,QB,LAR
13272,22953,17466,Carson Beck,carson beck,QB,ARI
13287,25403,17472,Jeremiyah Love,jeremiyah love,RB,ARI
13286,27329,17473,Jadarian Price,jadarian price,RB,SEA
13337,28107,17474,Emmett Johnson,emmett johnson,RB,KCC
13424,23079,17475,Seth McGowan,seth mcgowan,RB,IND
13288,24343,17476,Nicholas Singleton,nicholas singleton,RB,TEN
13345,27320,17477,Jonah Coleman,jonah coleman,RB,DEN
13405,24362,17478,Kaytron Allen,kaytron allen,RB,WAS
13347,28084,17481,Demond Claiborne,demond claiborne,RB,MIN
13305,28108,17482,Mike Washington Jr.,mike washington,RB,LVR
13414,28401,17485,Kaelon Black,kaelon black,RB,SFO
13348,28109,17487,J'Mari Taylor,jmari taylor,RB,JAC
13279,26009,17497,Carnell Tate,carnell tate,WR,TEN
13281,26035,17498,Jordyn Tyson,jordyn tyson,WR,NOS
13294,25420,17499,Makai Lemon,makai lemon,WR,PHI
13346,27339,17500,Denzel Boston,denzel boston,WR,CLE
13298,27331,17501,KC Concepcion,kc concepcion,WR,CLE
13276,28127,17502,Omar Cooper Jr.,omar cooper,WR,NYJ
13274,26039,17503,Germie Bernard,germie bernard,WR,PIT
13268,27463,17505,Elijah Sarratt,elijah sarratt,WR,BAL
13311,26038,17506,Chris Bell,chris bell,WR,MIA
13320,25419,17507,Zachariah Branch,zachariah branch,WR,ATL
13402,28126,17508,Skyler Bell,skyler bell,WR,BUF
13353,28047,17509,Chris Brazzell II,chris brazzell,WR,CAR
13285,27994,17511,Malachi Fields,malachi fields,WR,NYG
13301,25418,17512,Antonio Williams,antonio williams,WR,WAS
13417,28138,17514,De'Zhaun Stribling,dezhaun stribling,WR,SFO
13293,27337,17517,Ja'Kobi Lane,jakobi lane,WR,BAL
13413,28424,17518,Cyrus Allen,cyrus allen,WR,KCC
13317,28130,17520,Ted Hurst,ted hurst,WR,TBB
13330,26055,17543,Kenyon Sadiq,kenyon sadiq,TE,NYJ
13349,23144,17544,Eli Stowers,eli stowers,TE,PHI
13282,27501,17545,Jack Endries,jack endries,TE,CIN
13401,23167,17546,Michael Trigg,michael trigg,TE,DAL
13278,27993,17547,Max Klare,max klare,TE,LAR
13400,28079,17548,Justin Joly,justin joly,TE,MIA
13322,28161,17549,Sam Roush,sam roush,TE,CHI
13435,27312,17566,Joe Royer,joe royer,TE,CLE
13319,25430,17567,Oscar Delp,oscar delp,TE,NOS
13299,28427,17591,Nate Boerkircher,nate boerkircher,TE,JAC
13307,28157,17593,Marlin Klein,marlin klein,TE,HOU
13296,28135,17599,Caleb Douglas,caleb douglas,WR,MIA
13434,28403,17605,Will Kacmarek,will kacmarek,TE,MIA
13421,28154,17607,Eli Raridon,eli raridon,TE,NEP
13408,27499,17644,Tanner Koziol,tanner koziol,TE,JAC
13302,24367,17652,Adam Randall,adam randall,RB,BAL
13429,28163,17655,Seydou Traore,seydou traore,TE,MIA
13422,28160,17681,Jaren Kanak,jaren kanak,TE,TEN
13577,28352,17699,Dallen Bentley,dallen bentley,TE,DEN
13342,28158,17710,John Michael Gyllenborg,john michael gyllenborg,TE,KCC
13331,28159,17724,Dae'Quan Wright,daequan wright,TE,FA
12522,24755,17030,Cam Ward,cam ward,QB,TEN
12524,25968,17031,Shedeur Sanders,shedeur sanders,QB,CLE
12508,23160,17032,Jaxson Dart,jaxson dart,QB,NYG
12510,22884,17033,Jalen Milroe,jalen milroe,QB,SEA
12500,23680,17034,Quinn Ewers,quinn ewers,QB,JAC
12511,25972,17036,Will Howard,will howard,QB,PIT
12486,23150,17037,Dillon Gabriel,dillon gabriel,QB,CLE
12545,23096,17039,Tyler Shough,tyler shough,QB,NOS
12527,25989,17042,Ashton Jeanty,ashton jeanty,RB,LVR
12529,23065,17043,TreVeyon Henderson,treveyon henderson,RB,NEP
12507,25395,17044,Omarion Hampton,omarion hampton,RB,LAC
12481,27166,17045,Cam Skattebo,cam skattebo,RB,NYG
12476,23682,17046,Devin Neal,devin neal,RB,FA
12469,27102,17047,Dylan Sampson,dylan sampson,RB,CLE
12504,27165,17048,Kaleb Johnson,kaleb johnson,RB,GBP
12455,27259,17049,Brashard Smith,brashard smith,RB,KCC
12512,25391,17051,Quinshon Judkins,quinshon judkins,RB,CLE
12490,27297,17052,Bhayshul Tuten,bhayshul tuten,RB,JAC
12474,27520,17053,Woody Marks,woody marks,RB,HOU
12467,27310,17055,Jordan James,jordan james,RB,SFO
12531,25393,17056,Trevor Etienne,trevor etienne,RB,CAR
12543,26212,17058,Tahj Brooks,tahj brooks,RB,CIN
12495,25984,17059,Ollie Gordon,ollie gordon,RB,MIA
12471,27097,17060,DJ Giddens,dj giddens,RB,IND
12544,27285,17061,LeQuint Allen,lequint allen,RB,JAC
11569,24335,17064,Jarquez Hunter,jarquez hunter,RB,MIA
12534,27131,17066,Kyle Monangai,kyle monangai,RB,CHI
12489,27142,17068,RJ Harvey,rj harvey,RB,DEN
12457,24344,17069,Jaydon Blue,jaydon blue,RB,PHI
12519,27016,17070,Luther Burden,luther burden,WR,CHI
12526,25417,17071,Tetairoa McMillan,tetairoa mcmillan,WR,CAR
12509,26215,17072,Tre Harris,tre harris,WR,LAC
12499,27059,17073,Elic Ayomanor,elic ayomanor,WR,TEN
12530,26034,17074,Travis Hunter,travis hunter,WR,JAC
12501,26024,17075,Matthew Golden,matthew golden,WR,GBP
12503,24371,17076,Isaiah Bond,isaiah bond,WR,CLE
12483,27224,17078,Jack Bech,jack bech,WR,LVR
12485,27147,17079,Tez Johnson,tez johnson,WR,TBB
12536,27122,17080,Jaylin Noel,jaylin noel,WR,HOU
12514,23062,17081,Emeka Egbuka,emeka egbuka,WR,TBB
12492,27211,17082,Pat Bryant,pat bryant,WR,DEN
12484,27077,17083,Jayden Higgins,jayden higgins,WR,HOU
12505,27076,17086,Jalen Royals,jalen royals,WR,KCC
