player,pos,team,age,draft_year,ecr_1qb,ecr_2qb,ecr_pos,value_1qb,value_2qb,scrape_date,fp_id
2026 Pick 1.01,PICK,NA,NA,NA,22.4225,16.65,NA,6199,7100,2026-09-25,NA
2026 Pick 1.02,PICK,NA,NA,NA,28.115,24.9525,NA,5423,5842,2026-09-25,NA
2026 Pick 1.03,PICK,NA,NA,NA,37,33.1275,NA,4401,4821,2026-09-25,NA
2027 Early 1st,PICK,NA,NA,NA,40.2350741275649,35.8900741275649,NA,4079,4517,2026-09-25,NA
2026 Pick 1.04,PICK,NA,NA,NA,45.74,41.1675,NA,3584,3991,2026-09-25,NA
2026 Pick 1.05,PICK,NA,NA,NA,54.32,49.0875,NA,2930,3313,2026-09-25,NA
2026 Pick 1.06,PICK,NA,NA,NA,62.745,56.87,NA,2403,2759,2026-09-25,NA
2026 Pick 1.07,PICK,NA,NA,NA,71.015,64.52,NA,1979,2305,2026-09-25,NA
2027 1st,PICK,NA,NA,NA,73.2096574608982,66.8600741275649,NA,1879,2182,2026-09-25,NA
2027 Mid 1st,PICK,NA,NA,NA,73.7219491275649,67.5469491275649,NA,1857,2147,2026-09-25,NA
2026 Pick 1.08,PICK,NA,NA,NA,79.145,72.0475,NA,1635,1931,2026-09-25,NA
2028 1st,PICK,NA,NA,NA,82.705127729588,76.3555443962547,NA,1504,1745,2026-09-25,NA
2026 Pick 1.09,PICK,NA,NA,NA,87.13,79.445,NA,1355,1623,2026-09-25,NA
2026 Pick 1.10,PICK,NA,NA,NA,94.975,86.7175,NA,1127,1368,2026-09-25,NA
2026 Pick 1.11,PICK,NA,NA,NA,102.68,93.8625,NA,940,1157,2026-09-25,NA
2027 Late 1st,PICK,NA,NA,NA,105.671949127565,97.1431991275649,NA,876,1071,2026-09-25,NA
2026 Pick 1.12,PICK,NA,NA,NA,110.24,100.885,NA,787,981,2026-09-25,NA
2026 Pick 2.01,PICK,NA,NA,NA,117.66,107.7825,NA,661,834,2026-09-25,NA
2026 Pick 2.02,PICK,NA,NA,NA,124.935,114.5525,NA,557,711,2026-09-25,NA
2026 Pick 2.03,PICK,NA,NA,NA,132.07,121.195,NA,471,609,2026-09-25,NA
2027 Early 2nd,PICK,NA,NA,NA,135.349449127565,124.725699127565,NA,436,560,2026-09-25,NA
2026 Pick 2.04,PICK,NA,NA,NA,139.07,127.71,NA,400,522,2026-09-25,NA
2026 Pick 2.05,PICK,NA,NA,NA,145.93,134.11,NA,340,449,2026-09-25,NA
2026 Pick 2.06,PICK,NA,NA,NA,152.665,140.395,NA,290,388,2026-09-25,NA
2026 Pick 2.07,PICK,NA,NA,NA,159.275,146.5575,NA,249,335,2026-09-25,NA
2027 2nd,PICK,NA,NA,NA,162.097782460898,149.695907460898,NA,233,311,2026-09-25,NA
2027 Mid 2nd,PICK,NA,NA,NA,162.820699127565,150.333199127565,NA,229,307,2026-09-25,NA
2026 Pick 2.08,PICK,NA,NA,NA,165.75,152.6075,NA,214,291,2026-09-25,NA
2028 2nd,PICK,NA,NA,NA,171.593252729588,159.191377729588,NA,186,249,2026-09-25,NA
2026 Pick 2.09,PICK,NA,NA,NA,172.065,158.525,NA,184,253,2026-09-25,NA
2026 Pick 2.10,PICK,NA,NA,NA,178.245,164.325,NA,159,221,2026-09-25,NA
2026 Pick 2.11,PICK,NA,NA,NA,184.295,170.0125,NA,138,193,2026-09-25,NA
2027 Late 2nd,PICK,NA,NA,NA,188.123199127565,174.028824127565,NA,126,176,2026-09-25,NA
2026 Pick 2.12,PICK,NA,NA,NA,190.225,175.59,NA,120,169,2026-09-25,NA
2026 Pick 3.01,PICK,NA,NA,NA,196.055,181.0525,NA,105,149,2026-09-25,NA
2026 Pick 3.02,PICK,NA,NA,NA,201.73,186.3475,NA,92,132,2026-09-25,NA
2026 Pick 3.03,PICK,NA,NA,NA,207.235,191.485,NA,81,117,2026-09-25,NA
2027 Early 3rd,PICK,NA,NA,NA,211.318199127565,195.759449127565,NA,73,106,2026-09-25,NA
2026 Pick 3.04,PICK,NA,NA,NA,212.59,196.49,NA,71,104,2026-09-25,NA
2026 Pick 3.05,PICK,NA,NA,NA,217.825,201.3875,NA,63,92,2026-09-25,NA
2026 Pick 3.06,PICK,NA,NA,NA,222.965,206.2075,NA,56,83,2026-09-25,NA
2026 Pick 3.07,PICK,NA,NA,NA,228.035,210.96,NA,49,74,2026-09-25,NA
2027 3rd,PICK,NA,NA,NA,231.937782460898,214.851324127565,NA,45,67,2026-09-25,NA
2027 Mid 3rd,PICK,NA,NA,NA,232.385699127565,215.454449127565,NA,45,66,2026-09-25,NA
